reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,visualtyp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Type of visual material",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/visualtyp#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Indicates the type of visual material being described.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
